timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
9/7/17 15:55,Apple,ICT3,Software Engineer,150000,"Cupertino, CA",3,3,NA,0,0,0,NA,NA,7158,807,80,0,0,0,0,0,0,0,0,0,0,NA,NA
9/8/17 13:55,Amazon,L6,Product Manager,195000,"Seattle, WA",9,2,NA,0,0,0,NA,NA,11527,819,81,0,0,0,0,0,0,0,0,0,0,NA,NA
9/8/17 13:57,Linkedin,Software Engineer,Software Engineer,184000,"San Francisco, CA",5,2,NA,124000,200000,10000,NA,NA,7419,807,82,0,0,0,0,0,0,0,0,0,0,NA,NA
9/8/17 16:41,Amazon,L6,Product Manager,270000,"Seattle, WA",6,2,NA,160000,110000,0,NA,NA,11527,819,84,0,0,0,0,0,0,0,0,0,0,NA,NA
9/8/17 18:11,Amazon,L4,Software Engineer,132000,"Seattle, WA",0.5,0.5,NA,0,0,0,NA,NA,11527,819,86,0,0,0,0,0,0,0,0,0,0,NA,NA
9/8/17 20:32,Amazon,5,Product Manager,120000,"Seattle, WA",3,3,NA,72000,48000,0,NA,NA,11527,819,88,0,0,0,0,0,0,0,0,0,0,NA,NA
9/8/17 22:05,Amazon,L6,Software Engineering Manager,325000,"Seattle, WA",6,4,NA,160000,0,0,NA,NA,11527,819,89,0,0,0,0,0,0,0,0,0,0,NA,NA
9/8/17 22:42,Amazon,L5,Software Engineer,188000,"Seattle, WA",4,4,NA,124000,64000,0,NA,How do I access results?,11527,819,90,0,0,0,0,0,0,0,0,0,0,NA,NA
9/8/17 23:40,Amazon,5,Software Engineer,172000,"Seattle, WA",2,2,NA,132000,40000,0,NA,NA,11527,819,91,0,0,0,0,0,0,0,0,0,0,NA,NA
9/9/17 8:56,Amazon,L4,Software Engineer,140000,"Sunnyvale, CA",1,1,NA,101000,90000,33000,NA,"Year 2 bonus, 24k",7472,807,93,0,0,0,0,0,0,0,0,0,0,NA,NA
9/9/17 16:15,Amazon,L5,Software Engineer,200000,"Seattle, WA",9,1,NA,150000,120000,40000,NA,NA,11527,819,94,0,0,0,0,0,0,0,0,0,0,NA,NA
9/10/17 19:28,Amazon,L5,Software Engineer,183000,"Seattle, WA",11,6.5,NA,137500,46000,0,NA,NA,11527,819,96,0,0,0,0,0,0,0,0,0,0,NA,NA
9/11/17 1:00,Microsoft,64,Software Engineer,230000,"Seattle, WA",14,9,NA,165000,0,30000,NA,NA,11527,819,97,0,0,0,0,0,0,0,0,0,0,NA,NA
9/11/17 13:51,Apple,ICT3,Software Engineer,210000,"Cupertino, CA",3,2,NA,130000,50000,30000,NA,NA,7158,807,98,0,0,0,0,0,0,0,0,0,0,NA,NA
9/12/17 21:05,Linkedin,Senior,Software Engineer,240000,"San Francisco, CA",5,2,NA,162000,300000,16200,NA,"401k match 50%, vested immediately, up to the legal limit
""Cadillac"" insurance at no cost",7419,807,99,0,0,0,0,0,0,0,0,0,0,NA,NA
9/26/17 0:30,Amazon,SDE 3,Software Engineer,285000,"Seattle, WA",5,5,NA,145000,140000,0,NA,NA,11527,819,103,0,0,0,0,0,0,0,0,0,0,NA,NA
